"P_star","Q_star","P_true","Q_true","P_perp","Q_perp"
5,5,2,1,1,0
5,5,2,1,1,3
5,5,2,1,1,3
5,5,2,1,1,1
5,5,2,1,1,5
5,5,2,1,1,0
5,5,2,1,1,0
5,5,2,1,1,1
5,5,2,1,1,2
5,5,2,1,1,2
5,5,2,1,1,5
5,5,2,1,1,0
5,5,2,1,1,1
5,5,2,1,1,1
5,5,2,1,1,3
5,5,2,1,1,2
5,5,2,1,1,3
5,5,2,1,1,2
5,5,2,1,1,5
5,5,2,1,1,0
5,5,2,1,1,0
5,5,2,1,1,0
5,5,2,1,1,0
5,5,2,1,1,2
5,5,2,1,1,3
5,5,2,1,1,2
5,5,2,1,1,1
5,5,2,1,1,0
5,5,2,1,1,2
5,5,2,1,1,0
5,5,2,1,1,0
5,5,2,1,1,1
5,5,2,1,1,2
5,5,2,1,1,0
5,5,2,1,1,4
5,5,2,1,1,0
5,5,2,1,1,0
5,5,2,1,1,2
5,5,2,1,1,0
5,5,2,1,1,1
5,5,2,1,1,1
5,5,2,1,1,0
5,5,2,1,1,0
5,5,2,1,1,3
5,5,2,1,1,0
5,5,2,1,1,0
5,5,2,1,1,0
5,5,2,1,1,2
5,5,2,1,1,2
5,5,2,1,1,0
5,5,2,1,1,0
5,5,2,1,1,0
5,5,2,1,1,2
5,5,2,1,1,1
5,5,2,1,1,4
5,5,2,1,1,0
5,5,2,1,1,0
5,5,2,1,1,0
5,5,2,1,1,2
5,5,2,1,1,1
5,5,2,1,1,0
5,5,2,1,1,0
5,5,2,1,1,2
5,5,2,1,1,0
5,5,2,1,1,0
5,5,2,1,1,1
5,5,2,1,1,0
5,5,2,1,1,2
5,5,2,1,1,0
5,5,2,1,1,1
5,5,2,1,1,0
5,5,2,1,1,2
5,5,2,1,1,0
5,5,2,1,1,1
5,5,2,1,1,0
5,5,2,1,1,0
5,5,2,1,1,1
5,5,2,1,1,0
5,5,2,1,1,0
5,5,2,1,1,2
5,5,2,1,1,0
5,5,2,1,1,5
5,5,2,1,1,0
5,5,2,1,1,3
5,5,2,1,1,0
5,5,2,1,1,0
5,5,2,1,1,0
5,5,2,1,1,1
5,5,2,1,1,0
5,5,2,1,1,4
5,5,2,1,1,3
5,5,2,1,1,0
5,5,2,1,1,0
5,5,2,1,1,0
5,5,2,1,1,0
5,5,2,1,1,4
5,5,2,1,1,3
5,5,2,1,1,2
5,5,2,1,1,1
5,5,2,1,1,2
